character_name
Karen O'Malley
Karen Page
Karma
Karnak
Karolina Dean
Kat Farrell
Kate Bishop
Katie Power
Ken Ellis
Khan
Kid Colt
Killer Shrike
Killmonger
Killraven
King Bedlam
King Cobra
Kingpin
Kinsey Walden
Kitty Pryde
Kitty Pryde (X-Men: Battle of the Atom)
Klaw
Komodo (Melati Kusuma)
Korath
Korg
Korvac
Krakoa
Kraven the Hunter
Kree
Krista Starr
Kronos
Kulan Gath
Kwannon
Kylun
La Nuit
Lady Bullseye
Lady Deathstrike
Lady Mastermind
Lady Ursula
Lady Vermin
Lake
Landau
Lava-Man
Layla Miller
Leader
Leech
Legion
"Lei Kung, The Thunderer"
Lenny Balinger
Leo (Zodiac)
Leopardon
Leper Queen
Lester
Lethal Legion
Lieutenant Marcus Stone
Lifeguard
Lightning Lords of Nepal
Lightspeed
Lila Cheney
Lilandra
Lilith
Lily Hollister
Lionheart
Living Laser
Living Lightning
Living Mummy
Living Tribunal
Liz Osborn
Lizard
Lizard (Ultimate)
Loa
Lockheed
Lockjaw
Logan
Loki
Loki (LEGO Marvel Super Heroes)
Loners
Longshot
Longshot (Ultimate)
Lord Hawal
Lord Tyger
Lords of Avalon
Lorna Dane
Luckman
Lucky Pierre
Lucy in the Sky
Luke Cage
Luminals
Luna Snow (Luna Snow)
Lyja
M (Monet St. Croix)
M.O.D.A.M.
M.O.D.O.G.
M.O.D.O.K.
M.O.D.O.K. (Iron Man 3 - The Official Game)
Ma Gnuci
Mac Gargan
Mach IV
Machine Man
Mad Thinker
Madame Hydra
Madame Masque
Madame Web (Julia Carpenter)
Maddog
Madelyne Pryor
Madripoor
Madrox
Maelstrom
Maestro
Magdalene
Maggott
Magik (Amanda Sefton)
Magik (Illyana Rasputin)
Maginty
Magma (Amara Aquilla)
Magneto
Magneto (Age of Apocalypse)
Magneto (House of M)
Magneto (Ultimate)
Magneto (X-Men: Battle of the Atom)
Magus (Adam Warlock)
Magus (Technarch)
Major Mapleleaf
Makkari
Malcolm Colcord
Malekith
Malice (Earth-161)
Man-Thing
Man-Wolf
Mandarin
Mandrill
Mandroid
Manta
Mantis
Marauders
Marcus Van Sciver
Maria Hill
Mariko Yashida
Marrow
Marten Broadcloak
Martin Li
Marvel Apes
Marvel Boy
Marvel Zombies
Marvex
Mary Jane Watson
Mary Jane Watson (House of M)
Mary Jane Watson (Ultimate)
Masked Marvel (Unrevealed)
Masque
Master Chief
Master Mold
Mastermind
Masters of Evil
Mathemanic
Matsu'o Tsurayaba
Matthew Murdock
Mattie Franklin
Mauler
Maverick (Chris Bradley)
Maverick (Christoph Nord)
Maximus
May Parker
Medusa
Meggan
Meltdown
Menace
Mentallo
Mentor
Mephisto
Mephistopheles
Mercury
Mesmero
Metal Master
Meteorite
MI: 13
Micro/Macro
Microbe
Microchip
Micromax
Midnight (Earth-811)
Miek
Mikhail Rasputin
Millenium Guard
Millie the Model
Mimic
Mindworm
Miracleman
Miss America
Mister Fear
Mister Sinister
Mister Sinister (Deadpool)
Mister Sinister (House of M)
Mister Sinister (Ultimate)
Misty Knight
Mockingbird
Moira MacTaggert
Moira MacTaggert (Ultimate)
Mojo
Mole Man
Molecule Man
Molly Hayes
Molly Von Richtofen
Molten Man
Mongoose
Mongu (Unrevealed)
Monster Badoon
Moon Girl (Lunella Layfayette)
Moon Knight
Moon Knight (House of M)
Moon Knight (Ultimate)
Moondragon
Moonstone
Morbius
Mordo
Morg
Morgan Le Fay
Morgan Stark
Morlocks
Morlun
Morph
Mother Askani
Mr. Bumpo
Mr. Fantastic
Mr. Fantastic (Ultimate)
Mr. Fish
Mr. Fixit
Mr. Hyde
Mr. Immortal
Mr. Meugniot
Mr. Negative
Mr. Payback
Mr. X
Ms. America (America Chavez)
Ms. Marvel (Kamala Khan)
MS2
Mulholland Black
Multiple Man
MVP
Mysterio
Mysterio (Daniel Berkhart)
Mysterio (Francis Klum)
Mystique
Mystique (Age of Apocalypse)
Mystique (House of M)
Mystique (Ultimate)
Nakia (Nakia)
Namor
Namora
Namorita
Naoko
Natasha Romanoff
Nebula
Nehzno
Nekra
Nemesis
Network
New Goblin
New Mutants
New Warriors
New X-Men
Newton Destine
Next Avengers
Nextwave
Nick Fury
Nick Fury (LEGO Marvel Super Heroes)
Nick Fury (Ultimate)
Nico Minoru
Nicolaos
Night Nurse (Earth-9997)
Night Nurse (Linda Carter)
Night Thrasher
Night Thrasher (Dwayne Taylor)
Nightcrawler
Nightcrawler (Ultimate)
Nighthawk
Nightmare
Nightshade
Nine-Fold Daughters of Xao
Nitro
Nocturne
Nomad
Nomad (Rikki Barnes)
Nomad (Steve Rogers)
Norman Osborn
Norrin Radd
Northstar
Nova
Nova (Frankie Raye)
Nova (Sam Alexander)
Nova (USM)
Nuke
Obadiah Stane
Odin
Ogun
Okoye
Old Lace
Old Man Logan (Earth-807128)
Omega (Michael Pointer)
Omega Flight
Omega Red
Omega Sentinel
Omega the Unknown
Onslaught
Onslaught (Ultimate)
Oracle
Ord
Orphan
Orphan-Maker
Otto Octavius
Outlaw (Inez Temple)
Outlaw Kid
Overlord
Owl
Ozymandias
Paibok
Paladin
Pandemic
Paper Doll
Patch
Patriot
Payback
Peggy Carter (Captain Carter)
Penance (Monet St. Croix)
Penance (Robert Baldwin)
Pepper Potts
Pestilence
Pet Avengers
Pete Wisdom
Peter Parker
Peter Quill
Phalanx
Phantom Reporter
Phil Coulson (Phil Coulson)
Phil Sheldon
Phoenix Force
Photon
Phyla-Vell
Piledriver
Pip
Pixie
Plazm
Polaris
Post
Power Man (USM)
Power Pack
Praxagora
Preak
Pretty Boy
Pride
Prima
Prince of Orphans
Princess Powerful
Prism
Prodigy
Prodigy (David Alleyne)
Proemial Gods
Professor Monster
Professor X
Professor X (Ultimate)
Proteus
Proteus (House of M)
Proteus (Ultimate)
Proudstar
Prowler
Prowler (Rick Lawson)
Psycho-Man
Psylocke
PsyNapse
Puck
Puck (Zuzha Yu)
Puff Adder
pug
Puma
Punisher
Punisher (2099)
Punisher (Marvel: Avengers Alliance)
Puppet Master
Purifiers
Purple Man
Pyro
Quake (Daisy Johnson)
Quasar (Phyla-Vell)
Quasar (Wendell Vaughn)
Quasimodo
Queen Noir
Quentin Quire
Quicksilver
Quicksilver (Age of Apocalypse)
Quicksilver (Ultimate)
Rachel Grey
Radioactive Man
Rafael Vega
Rage
Raider
Randall
Randall Flagg
Random
Rattler
Ravenous
Rawhide Kid
Raza
Reaper
Reavers
Reavers (Ultimate)
Red 9
Red Ghost
Red Ghost (Ultimate)
Red Guardian (Alexei Shostakov)
Red Hulk
Red Hulk (HAS)
Red She-Hulk
Red Shift
Red Skull
Red Skull (Albert Malik)
Red Wolf
Redwing
Reptil
Retro Girl
Revanche
Rhino
Rhodey
Richard Fisk
Rick Jones
Rick Jones (Ultimate)
Ricochet
Rictor
Riptide
Risque
Robbie Robertson
Robert Baldwin
Robin Chapel
Rocket Raccoon
Rocket Raccoon (Marvel Heroes)
Rocket Racer
Rockslide
Rogue
Rogue (Age of Apocalypse)
Rogue (Deadpool)
Rogue (Ultimate)
Rogue (X-Men: Battle of the Atom)
Roland Deschain
Romulus
Ronan
Ronin
Roughhouse
Roulette
Roxanne Simpson
Rumiko Fujikawa
Runaways
Russian
S.H.I.E.L.D.
Sabra
Sabretooth
Sabretooth (Age of Apocalypse)
Sabretooth (House of M)
Sabretooth (Ultimate)
Sage
Salem's Seven (Ultimate)
Sally Floyd
Salo
Sandman
Santa Claus
Saracen (Muzzafar Lambert)
Sasquatch (Walter Langkowski)
Satana
Sauron
Scalphunter
Scarecrow (Ebenezer Laughton)
Scarlet Spider (Ben Reilly)
Scarlet Spider (Kaine)
Scarlet Witch
Scarlet Witch (Age of Apocalypse)
Scarlet Witch (Marvel Heroes)
Scarlet Witch (Ultimate)
Scorpion (Carmilla Black)
Scorpion (Mac Gargan)
Scorpion (Ultimate)
Scourge
Scrambler
Scream (Donna Diego)
Screwball
Sebastian Shaw
Secret Warriors
Selene
Senator Kelly
Sentinel
Sentinels
Sentry (Robert Reynolds)
Ser Duncan
Serpent Society
Sersi
Shadow King
Shadow King (Age of Apocalypse)
Shadowcat
Shadowcat (Age of Apocalypse)
Shadowcat (Ultimate)
Shadu the Shady
Shalla-bal
Shaman
Shane Yamada-Jones
Shang-Chi
Shang-Chi (Ultimate)
Shanna the She-Devil
Shape
Shard
Sharon Carter
Sharon Ventura
Shatterstar
She-Hulk (HAS)
She-Hulk (Jennifer Walters)
She-Hulk (Lyra)
She-Hulk (Marvel War of Heroes)
She-Hulk (Ultimate)
Shen
Sheva Callister
Shi'Ar
Shinko Yamashiro
Shinobi Shaw
Shiva
Shiver Man
Shocker (Herman Schultz)
Shockwave
Shooting Star
Shotgun
Shriek
Sif
Silhouette
Silk (Cindy Moon)
Silk Fever
Silver Centurion
Silver Fox
Silver Sable
Silver Samurai
Silver Samurai (Age of Apocalypse)
Silver Surfer
Silverclaw
Silvermane
Sin
Sinister Six
Sir Ram
Siren (Earth-93060)
Sister Grimm
Skaar
Skaar (HAS)
Skin
Skreet
Skrulls
Skrulls (Ultimate)
Skullbuster (Cylla Markham)
Slapstick
Slayback
Sleeper
Sleepwalker
Slipstream
Slyde
Smasher (Vril Rokk)
Smiling Tiger
Snowbird
Solo (James Bourne)
Songbird
Sons of the Tiger
Spacker Dave
Spectrum
Speed
Speed Demon
Speedball (Robert Baldwin)
Spencer Smythe
Sphinx (Anath-Na Mut)
Spider-dok
Spider-Girl (Anya Corazon)
Spider-Girl (May Parker)
Spider-Gwen (Gwen Stacy)
Spider-Ham (Larval Earth)
Spider-Man (1602)
Spider-Man (2099)
Spider-Man (Ai Apaec)
Spider-Man (Ben Reilly)
Spider-Man (House of M)
Spider-Man (LEGO Marvel Super Heroes)
Spider-Man (Marvel Zombies)
Spider-Man (Marvel: Avengers Alliance)
Spider-Man (Miles Morales)
Spider-Man (Noir)
Spider-Man (Peter Parker)
Spider-Man (Takuya Yamashiro)
Spider-Man (Ultimate)
Spider-Woman (Charlotte Witter)
Spider-Woman (Jessica Drew)
Spider-Woman (Mattie Franklin)
Spiral (Rita Wayword)
Spirit
Spitfire
Spot
Sprite
Spyke
Squadron Sinister
Squadron Supreme (Earth-712)
Squirrel Girl
Stacy X
Stacy X (Ultimate)
Star Brand
Star-Lord (Peter Quill)
Starbolt
Stardust
Starfox
Starhawk (Stakar Ogord)
Starjammers
Stark Industries
Stature
Steel Serpent (Davos)
Stegron
Stellaris
Stepford Cuckoos
Stephanie de la Spiroza
Stephen Strange
Steve Rogers
Stick
Stilt-Man (Wibur Day)
Stingray (Walter Newell)
Stone Men
Storm
Storm (Age of Apocalypse)
Storm (Marvel Heroes)
Storm (Ultimate)
Stranger
Strong Guy
Stryfe
Stryfe (Ultimate)
Sub-Mariner
Sue Storm
Sugar Man
Sumo
Sunfire
Sunfire (Age of Apocalypse)
Sunset Bain
Sunspot
Super Hero Squad
Super-Adaptoid
Super-Skrull
Supernaut
Supreme Intelligence
Surge
Surtur
Susan Delgado
Swarm
Sway
Switch
Sword Master (Sword Master)
Swordsman
Swordsman (Jacques Duquesne)
Sym
Synch
T'Challa
Tag
Talisman (Elizabeth Twoyoungmen)
Talkback (Chase Stein)
Talon (Fraternity of Raptors)
Talos
Tana Nile
Tarantula (Luis Alvarez)
Tarantula (Maria Vasquez)
Tarot
Taskmaster
Tattoo
Taurus (Cornelius van Lunt)
Technarchy
Ted Forrester
Tempest
Tenebrous
Terrax
Terror
Texas Twister
Thaddeus Ross
Thanos
Thanos (Ultimate)
The 198
The Anarchist
The Call
The Captain
The Collector (Taneleer Tivan)
The Enforcers
The Executioner
The Fallen
The Fury
The Hand
The Hood
The Howling Commandos
The Hunter
The Initiative
The Leader (HAS)
The Liberteens
The Liberty Legion
The Order
The Phantom
The Professor
The Renegades
The Santerians
The Shiver Man
The Spike
The Stranger
The Twelve
The Watchers
Thena
Thing
Thing (Marvel Heroes)
Thing (Ultimate)
Thor
Thor (Goddess of Thunder)
Thor (MAA)
Thor (Marvel Heroes)
Thor (Marvel War of Heroes)
Thor (Marvel: Avengers Alliance)
