,vote_date,resolution_title,vote_summary,vote_record,url_record
0,2006-11-15,"Human rights violations emanat ing from Israeli military incursions in the Occupied Palestinian Territory, including the recent one in northern Gaza and the assault on Beit Hanoun","
    Yes: 32 | No: 8 | Abstentions: 6 | Non-Voting: 1 | Total voting membership: 47","
    Y ALGERIA Y ARGENTINA Y AZERBAIJAN Y BAHRAIN Y BANGLADESH Y BRAZIL . CAMEROON N CANADA Y CHINA Y CUBA N CZECH REPUBLIC Y DJIBOUTI Y ECUADOR N FINLAND A FRANCE Y GABON N GERMANY Y GHANA A GUATEMALA Y INDIA Y INDONESIA A JAPAN Y JORDAN Y MALAYSIA Y MALI Y MAURITIUS Y MEXICO Y MOROCCO N NETHERLANDS Y NIGERIA Y PAKISTAN Y PERU Y PHILIPPINES N POLAND A REPUBLIC OF KOREA N ROMANIA Y RUSSIAN FEDERATION Y SAUDI ARABIA Y SENEGAL Y SOUTH AFRICA Y SRI LANKA A SWITZERLAND Y TUNISIA A UKRAINE N UNITED KINGDOM Y URUGUAY Y ZAMBIA",https://searchlibrary.ohchr.org/record/25392
1,2006-08-11,The grave situation of human rights in Lebanon caused by Israeli military operations,"
    Yes: 27 | No: 11 | Abstentions: 8 | Non-Voting: 1 | Total voting membership: 47","
    Y ALGERIA Y ARGENTINA Y AZERBAIJAN Y BAHRAIN Y BANGLADESH Y BRAZIL A CAMEROON N CANADA Y CHINA Y CUBA N CZECH REPUBLIC . DJIBOUTI Y ECUADOR N FINLAND N FRANCE A GABON N GERMANY A GHANA A GUATEMALA Y INDIA Y INDONESIA N JAPAN Y JORDAN Y MALAYSIA Y MALI Y MAURITIUS Y MEXICO Y MOROCCO N NETHERLANDS A NIGERIA Y PAKISTAN Y PERU A PHILIPPINES N POLAND A REPUBLIC OF KOREA N ROMANIA Y RUSSIAN FEDERATION Y SAUDI ARABIA Y SENEGAL Y SOUTH AFRICA Y SRI LANKA A SWITZERLAND Y TUNISIA N UKRAINE N UNITED KINGDOM Y URUGUAY Y ZAMBIA",https://searchlibrary.ohchr.org/record/25391
2,2006-07-06,Human rights situation in the Occupied Palestinian Territory,"
    Yes: 29 | No: 11 | Abstentions: 5 | Non-Voting: 2 | Total voting membership: 47","
    Y ALGERIA Y ARGENTINA Y AZERBAIJAN Y BAHRAIN Y BANGLADESH Y BRAZIL A CAMEROON N CANADA Y CHINA Y CUBA N CZECH REPUBLIC . DJIBOUTI Y ECUADOR N FINLAND N FRANCE  GABON N GERMANY Y GHANA Y GUATEMALA Y INDIA Y INDONESIA N JAPAN Y JORDAN Y MALAYSIA Y MALI Y MAURITIUS A MEXICO Y MOROCCO N NETHERLANDS A NIGERIA Y PAKISTAN Y PERU Y PHILIPPINES N POLAND A REPUBLIC OF KOREA N ROMANIA Y RUSSIAN FEDERATION Y SAUDI ARABIA Y SENEGAL Y SOUTH AFRICA Y SRI LANKA A SWITZERLAND Y TUNISIA N UKRAINE N UNITED KINGDOM Y URUGUAY Y ZAMBIA",https://searchlibrary.ohchr.org/record/25389
3,2006-12-08,Preparations for the Durban Review Conference,"
    Yes: 34 | No: 12 | Abstentions: 1 | Non-Voting: 0 | Total voting membership: 47","
    Y ALGERIA Y ARGENTINA Y AZERBAIJAN Y BAHRAIN Y BANGLADESH Y BRAZIL Y CAMEROON N CANADA Y CHINA Y CUBA N CZECH REPUBLIC Y DJIBOUTI Y ECUADOR N FINLAND N FRANCE Y GABON N GERMANY Y GHANA Y GUATEMALA Y INDIA Y INDONESIA N JAPAN Y JORDAN Y MALAYSIA Y MALI Y MAURITIUS Y MEXICO Y MOROCCO N NETHERLANDS Y NIGERIA Y PAKISTAN Y PERU Y PHILIPPINES N POLAND N REPUBLIC OF KOREA N ROMANIA Y RUSSIAN FEDERATION Y SAUDI ARABIA Y SENEGAL Y SOUTH AFRICA Y SRI LANKA N SWITZERLAND Y TUNISIA A UKRAINE N UNITED KINGDOM Y URUGUAY Y ZAMBIA",https://searchlibrary.ohchr.org/record/25367
4,2006-12-08,Human rights situation in the Occupied Palestinian Territory : follow-up to Human Rights Council resolution S-1/1,"
    Yes: 34 | No: 1 | Abstentions: 12 | Non-Voting: 0 | Total voting membership: 47","
    Y ALGERIA Y ARGENTINA Y AZERBAIJAN Y BAHRAIN Y BANGLADESH Y BRAZIL A CAMEROON N CANADA Y CHINA Y CUBA A CZECH REPUBLIC Y DJIBOUTI Y ECUADOR A FINLAND A FRANCE Y GABON A GERMANY Y GHANA Y GUATEMALA Y INDIA Y INDONESIA A JAPAN Y JORDAN Y MALAYSIA Y MALI Y MAURITIUS Y MEXICO Y MOROCCO A NETHERLANDS Y NIGERIA Y PAKISTAN Y PERU Y PHILIPPINES A POLAND Y REPUBLIC OF KOREA A ROMANIA Y RUSSIAN FEDERATION Y SAUDI ARABIA Y SENEGAL Y SOUTH AFRICA Y SRI LANKA A SWITZERLAND Y TUNISIA A UKRAINE A UNITED KINGDOM Y URUGUAY Y ZAMBIA",https://searchlibrary.ohchr.org/record/25365
5,2006-11-27,"Israeli settlements in the Occupied Palestinian Territory, including East Jerusalem, and in the occupied Syrian Golan","
    Yes: 45 | No: 1 | Abstentions: 1 | Non-Voting: 0 | Total voting membership: 47","
    Y ALGERIA Y ARGENTINA Y AZERBAIJAN Y BAHRAIN Y BANGLADESH Y BRAZIL A CAMEROON N CANADA Y CHINA Y CUBA Y CZECH REPUBLIC Y DJIBOUTI Y ECUADOR Y FINLAND Y FRANCE Y GABON Y GERMANY Y GHANA Y GUATEMALA Y INDIA Y INDONESIA Y JAPAN Y JORDAN Y MALAYSIA Y MALI Y MAURITIUS Y MEXICO Y MOROCCO Y NETHERLANDS Y NIGERIA Y PAKISTAN Y PERU Y PHILIPPINES Y POLAND Y REPUBLIC OF KOREA Y ROMANIA Y RUSSIAN FEDERATION Y SAUDI ARABIA Y SENEGAL Y SOUTH AFRICA Y SRI LANKA Y SWITZERLAND Y TUNISIA Y UKRAINE Y UNITED KINGDOM Y URUGUAY Y ZAMBIA",https://searchlibrary.ohchr.org/record/25362
6,2006-11-27,Human rights in the occupied Syrian Golan,"
    Yes: 32 | No: 1 | Abstentions: 14 | Non-Voting: 0 | Total voting membership: 47","
    Y ALGERIA Y ARGENTINA Y AZERBAIJAN Y BAHRAIN Y BANGLADESH Y BRAZIL A CAMEROON N CANADA Y CHINA Y CUBA A CZECH REPUBLIC Y DJIBOUTI Y ECUADOR A FINLAND A FRANCE Y GABON A GERMANY Y GHANA A GUATEMALA Y INDIA Y INDONESIA A JAPAN Y JORDAN Y MALAYSIA Y MALI Y MAURITIUS Y MEXICO Y MOROCCO A NETHERLANDS Y NIGERIA Y PAKISTAN Y PERU Y PHILIPPINES A POLAND A REPUBLIC OF KOREA A ROMANIA Y RUSSIAN FEDERATION Y SAUDI ARABIA Y SENEGAL Y SOUTH AFRICA Y SRI LANKA A SWITZERLAND Y TUNISIA A UKRAINE A UNITED KINGDOM Y URUGUAY Y ZAMBIA",https://searchlibrary.ohchr.org/record/25361
7,2006-11-27,Intergovernmental Working Group on the Review of Mandates,"
    Yes: 30 | No: 15 | Abstentions: 2 | Non-Voting: 0 | Total voting membership: 47","
    Y ALGERIA A ARGENTINA Y AZERBAIJAN Y BAHRAIN Y BANGLADESH Y BRAZIL Y CAMEROON N CANADA Y CHINA Y CUBA N CZECH REPUBLIC Y DJIBOUTI Y ECUADOR N FINLAND N FRANCE Y GABON N GERMANY Y GHANA N GUATEMALA Y INDIA Y INDONESIA Y JAPAN Y JORDAN Y MALAYSIA Y MALI Y MAURITIUS N MEXICO Y MOROCCO N NETHERLANDS Y NIGERIA Y PAKISTAN N PERU Y PHILIPPINES N POLAND N REPUBLIC OF KOREA N ROMANIA Y RUSSIAN FEDERATION Y SAUDI ARABIA Y SENEGAL Y SOUTH AFRICA Y SRI LANKA N SWITZERLAND Y TUNISIA N UKRAINE N UNITED KINGDOM A URUGUAY Y ZAMBIA",https://searchlibrary.ohchr.org/record/25358
8,2006-06-29,Working group of the Commission on Human Rights to elaborate a draft declaration in accordance with paragraph 5 of the General Assembly resolution 49/214 of 23 December 1994,"
    Yes: 30 | No: 2 | Abstentions: 12 | Non-Voting: 3 | Total voting membership: 47","
    A ALGERIA A ARGENTINA Y AZERBAIJAN A BAHRAIN A BANGLADESH Y BRAZIL Y CAMEROON N CANADA Y CHINA Y CUBA Y CZECH REPUBLIC . DJIBOUTI Y ECUADOR Y FINLAND Y FRANCE . GABON Y GERMANY A GHANA Y GUATEMALA Y INDIA Y INDONESIA Y JAPAN A JORDAN Y MALAYSIA . MALI Y MAURITIUS Y MEXICO A MOROCCO Y NETHERLANDS A NIGERIA Y PAKISTAN Y PERU A PHILIPPINES Y POLAND Y REPUBLIC OF KOREA Y ROMANIA N RUSSIAN FEDERATION Y SAUDI ARABIA A SENEGAL Y SOUTH AFRICA Y SRI LANKA Y SWITZERLAND A TUNISIA A UKRAINE Y UNITED KINGDOM Y URUGUAY Y ZAMBIA",https://searchlibrary.ohchr.org/record/25354
