Singer Name,Song Name 1,Song Name 2,Song Name 3,Song Name 4,Song Name 5,Song Name 6,Song Name 7,Song Name 8,Song Name 9,Song Name 10
Sunitha Sarathy,1.Ennodu Nee Irundhaal,"2.Bad Boy (From ""Saaho"")","3.Yaakkai Thiri (From ""Aayutha Ezhuthu"")","4.Engeyum Eppothum - From ""Polladhavan""","5.Suthudhe Suthudhe (From ""Paiya"")",6.Thoovaanam,7.Ennodu Nee Irundhaal - Trending Version,8.Vallava Ennai,9.Manasa Manasa,10.Ye Cheekati
Sunitha,1.Nunugu Misalodu,2.Gundu Sudhi,3.Bangala Kathamulo,4.Yey Chikittha,5.Pedhavi Daatani,6.Em Sandeham Ledu,"7.Neeli Neeli Aakasam (From ""30 Rojullo Preminchadam Ela"")",8.Jum Jum Maya,9.Egiripothe Entha Baaaguntundi,10.Nee Navvula
Surmukhi Raman,1.Kaar Kaala Velai,2.Anuvynakaalam,3.Mujhe Aa Bharle,4.Aledaata Kaata,5.Endhaaka Nee Payanam,6.Para Para,7.Thedi Thedi,8.Inga Vaanthey,9.Kanna Unnai,10.Aadum Mayilil Nee Vara Vendum
Sushma Shrestha,1.Kya Hua Tera Vada,2.Tera Mujhse - Aa Gale Lag Jaa / Soundtrack Version,3.Ek Din Bik Jayega Mati Ke Mol - Sad,4.Aao Tumhen Chand Pe Le Jayen,5.Teri Hai Zameen Tera Aasman,6.Kya Hua Tera Vada - LoFi,7.Kya Hua Tera Wada,8.Kya Hua Tera Wada - Rap Mix,9.Kilbil Kilbil Pakshi Bolati,10.Kya Hua Tera Vada - Lofi
Sunanda Sharma,1.Jatt Disda,"2.Mummy Nu Pasand (From ""Jai Mummy Di"")","3.Tere Naal Nachna (From ""Nawabzaade"")",4.Jaani Tera Naa,5.Duji Vaar Pyar,"6.Poster Lagwa Do (From ""Luka Chuppi"")",7.Sandal,8.Chori Chori,9.Saadi Yaad,10.9-9 Mashukan
Sunidhi Chauhan,"1.Show Me The Thumka (From ""Tu Jhoothi Main Makkaar"")",2.Surili Akhiyon Wale - Duet,"3.Halka Halka (From ""Fanney Khan"")",4.Desi Girl,5.Mere Haath Mein,6.Dilliwaali Girlfriend,7.Sheila Ki Jawani,8.Chor Bazaari,9.Sajde,10.Kashmir Main Tu Kanyakumari
SUVI,1.Kodana Kodi,2.Asku Laska,3.Nallamdhana,4.Odi Odi Vilayada,"5.Yedho Mayakkam (From ""Billa 2"")",6.Adada Vaa,7.Asku Laska Emo Emo,8.Kuruvi Kuruvi,9.Dheko Dheko,10.Wanna Mash Up ?
Suzanne D'Mello,1.Surili Akhiyon Wale,"2.Rishte Naate - From ""De Dana Dan""",3.Hosanna,4.Tum Ho,5.Prem Ki Naiyya,6.Ee Hridayam,"7.Wafa Ne Bewafai (From ""Teraa Surroor"")",8.Hosanna - Lofi Flip,9.Rishte Naate - LO-FI Remix,10.Salaam Aaya
Swarnalatha,1.Poongatrile,2.Muqabala Muqabala,3.Ennai Thottu,4.Mukkala Mukkabla,5.Hai Rama,6.Andha Arabi Kadaloram,7.Aattama Therottama,8.Poovoma Oorgolam,"9.Malliga Mottu (From ""Sakthivel"")",10.Usilambatti Pen Kutti Muthu
Tanvi Shah,"1.Thuli Thuli (From ""Paiya"")","2.En Kadhal Solla (From ""Paiya"")","3.Iragai Poley - From ""Naan Mahaan Alla""",4.Magudi Magudi,5.Bezubaan,6.Theeratha Vilaiyattu,7.Dilli - 6,"8.Yedho Mayakkam (From ""Billa 2"")","9.Pani Thulli (From ""Kanda Naal Mudhal"")",10.Goa
Tarali Sarma,1.Ahiba,2.Anurag,3.Eman Morom,4.Matilei Nami Oha Junak - Dewka,5.Henguliya,6.Kothati Bhujila - Original,7.Kampito Madhav - Original,8.Malayar Pakhi - Original,9.TRISHNATUR,10.Mor Mon Podulite
Tulsi Kumar,"1.Tera Ban Jaunga (From ""Kabir Singh"")",2.Soch Na Sake,3.Hum Nashe Mein Toh Nahin,4.Paniyon Sa,"5.O Saki Saki (From ""Batla House"")","6.Lagdi Lahore Di (From ""Street Dancer 3D"")","7.Tum Jo Aaye (From ""Once Upon A Time In Mumbaai"")","8.Piya Aaye Na (From ""Aashiqui 2"")","9.Hum Mar Jayenge (From ""Aashiqui 2"")",10.Is Qadar
Usher,1.Yeah! (feat. Lil Jon & Ludacris),2.DJ Got Us Fallin' In Love (feat. Pitbull),3.My Boo,4.OMG (feat. will.i.am),5.Burn,6.Love in This Club (feat. Young Jeezy),7.U Remind Me,8.U Got It Bad,9.Confessions Part II,10.More - RedOne Jimmy Joker Remix
Usha Khanna,1.Commentry Tabassum And Zindagi Pyar Ka Geet Hai,"2.Pal Bhar Ke Liye - From ""Johny Mera Naam""",3.Mubarakaan,4.Tu Kaun Kahan Se Aayi Hai,5.Pal Bhar Ke Liye - Johny Mera Naam / Soundtrack Version,6.Pyar Ki Gadi,7.Chamcham Naachoongi,8.Dil Pardesi Ho Gayaa,9.Teri Galiyon Mein - In Your Lane - Hawas,10.Madhuban Khushboo Deta Hai
Usha Mangeshkar,"1.Janu Meri Jaan - From ""Shaan""",2.Aaya Mausam Dosti Ka,3.Swami Samarth Aarti,4.Tu Mungada Mungada,5.Janu Meri Jaan (Jungle Mein Mangle Mix),6.Antakshari,7.Tuj Maagatho Mi Aatha,8.Sainath Tere Hazaron Haath,9.Ek Lajara Na Sajara Mukhda,10.Sagara Pran Talmalala
Usha Uthup,1.Darling,2.Doston Se Pyar Kiya - From 'Shaan' / Soundtrack Version,3.Race Gurram,4.Auva Auva Koi Yahan Nache,5.Drishyam 2 - Title Track,6.Hai Ye Maya,7.Tu Mujhe Jaan Se Bhi - Wardat / Soundtrack Version,8.Vande Mataram,9.Hari Om Hari,10.Ramba Ho-Ho-Ho Samba Ho-Ho-Ho
Uthara Unnikrishnan,1.Morrakka Mattrakkaa,"2.Eena Meena Teeka - From ""Theri""",3.Kaiveesum,4.Ramashtakam,"5.Pogum Paadhai - From ""Pisasu""",6.Bhagyada Lakshmi Baramma,7.Shambho Mahadeva,8.Endaro Mahanubhavulu,9.Muddugare Yashoda,10.Shri Ramchandra Kripalu
Vaikom Vijayalakshmi,1.En Jeevan,2.Soppanasundari,3.Kannulo Unnavu,"4.Manniley Eeramundu (From ""Jai Bhim"")",5.Vaayadi Petha Pulla,6.Kaikkottum Kandittilla,7.Aaravalli,8.Kodaiyila,9.Kerala Manninayi,10.Piravi
Vaishali Samant,1.Radha Kaise Na Jale,2.Gulabachi Kali,3.Cham Cham Karta,4.Aika Dajiba,"5.Kombdi Palali - From ""Jatra""",6.Kehdoon Tumhen (Close To U),7.Aabhas Ha,8.Patil Aala,9.Mast Challay Amcha,10.Mera Dadla
Vandana Srinivasan,1.Koodamela Koodavechi,2.Nee Illai Endraal,3.Unnale,4.Karuvakaatu Karuvaaya,5.Sandakkaari,6.Karukkuchoopu Kurraada,7.Marudhaani,"8.Penne O Penne (From ""Naan Sigappu Manithan"")",9.Athana Per Mathiyila,10.Adiye Unna Paathida
Vasundhara Das,1.Kahin To,2.It's the Time to Disco,3.Chale Jaise Hawaien,4.Kannum Kannum,5.Where's the Party Tonight,6.Naaku Neeku,7.Salaam Namaste,"8.Kattipudi Kattipudida (From ""Kushi"")",9.Secret Of Success,"10.Shakalakka Baby ( From ""Mudhalvan"")"
Jaxxon D. Silva,1.Bootleg Bones,2.A Swollen Song,3.Poor Thing,4.Tutorial on How to Smile,5.Me & My Mind,6.Underneath,7.one of those days,8.Black Flag,9.Blackout,10.Room for Space
