Singer Name,Song Name 1,Song Name 2,Song Name 3,Song Name 4,Song Name 5,Song Name 6,Song Name 7,Song Name 8,Song Name 9,Song Name 10
Jency Anthony,1.Aayiram Malargale,2.Iru Paravaigal,3.Adi Pennae,4.Thottam Konda Rajave,5.Meenkodi Theril,6.Nyan Nyan Paadanum,7.Kalvari Kunnil,8.Aayiram Malargale - Lofi,9.Aayiram Malargale,10.Kannippoo
Jikki,1.Ninne Pellade,2.Chigurakulalo Chilakamma,3.Janavule Nerajanavule,4.Vaaraai Nee Vaaraai,5.Kalangamilla Kadhale,6.Sri Lakshmi Ashtakam,7.Chinna Chiru Chitte,8.Sri Durga Kavacham,9.Pulakinchani Madhi,10.Yaaradi Nee Mohini - Duet
Jonita Gandhi,1.Deva Deva,2.Jimikki Ponnu,"3.Arabic Kuthu - Halamithi Habibo (From ""Beast"")","4.Private Party (From ""Don"")","5.Chellamma (From ""Doctor"")","6.The Breakup Song (From ""Ae Dil Hai Mushkil"")",7.Mental Manadhil,"8.Current Laga Re (From ""Cirkus"")",9.Sau Tarah Ke,"10.Halamithi Habibo (From ""Beast"")"
Jyotica Tangri,1.Gallan Kardi,2.Mungda,3.Surmedani,"4.Window Taley (From ""Chatrapathi"")",5.Jinne Saah,"6.Ek Chumma (From ""Housefull 4"")",7.YA HABIBI,8.Saari Raat,"9.Kanda Kacheya Ne (From ""Daana Paani"" Soundtrack)",10.Kyun
Jyotsna Radhakrishnan,1.Muthu Mazha - Duet Version,"2.Raftaara - From ""Lucifer""",3.Sukhamaanee Nilaavu,4.Melemanathu,5.Karuppinazhaku,6.Hridhayavum,7.Aafat (Malayalam),8.Veyil Chilla,9.Kaathirunna,10.Mehrubha - Version 1
June Banerjee,1.Mon Mane Na,2.Dekhechi Tomake Srabone,3.Jhiri Jhiri,4.U La La (Female),5.De Signal,6.Gum Hai Kisi Ke - Acoustic,7.Tor Naam Female,"8.Chhauva Chhuvi Dyakho Hoye Gyalo (From ""Om Shanti"")",9.Deewana (Bonus Song),10.Soniye Tu Janiye Tu
Kumaar,1.Malang Sajna,2.Jhoome Jo Pathaan,"3.Besharam Rang (From ""Pathaan"")","4.Ghungroo (From ""War"")","5.Jai Jai Shivshankar (From ""War"")",6.Pappi Jhappi,7.Firecracker,8.Dua Karo,9.Jhoome Jo Pathaan - Arabic Version,"10.Yaar Ve (From ""Code Name Tiranga"")"
Kanika Kapoor,1.Baby Doll,2.Chittiyaan Kalaiyaan,3.Luv Letter,"4.Oo Bolega Ya Oo Oo Bolega (From ""Pushpa The Rise Part - 01"")",5.Tukur Tukur,6.Lovely,7.Zero Hour Mashup 2015(Remix By Dj Kiran Kamath),"8.Paan Dukaniya (From ""Bholaa"")",9.Punjabi Party Mashup,"10.Nachan Farrate (From ""All Is Well"")"
Kanan Devi,1.Ghunghurba Baaje Saigal,2.Babul Mora Naihar Chhute Jaye,3.Zara Naino Se Naina,4.Dur Desh Ka Rehnewala,5.Toofan Mail Jay,6.Aami Banaphool Go,7.Tar Biday Belar,8.Sakoon Dil Ka Mayassar-Duet,9.Duniya Ye Duniya,10.Koi Samjhawe Ye Geet
Kavita Krishnamurthy,"1.Tu Cheez Badi Hain (From ""Mohra"")",2.Koi Mil Gaya,3.Bole Chudiyan,4.Woh Ladki Hai Kahan,5.Dilbar Dilbar (Remix),6.Ammaye,7.Neend Churayee Meri,8.Jooma Chumma De De,9.Kaattrae En Vaasal - Wind,10.Meri Duniya Hai
